task_description,status,source,task_type,complexity
Test m2m-ssh connection with simple JSON-RPC initialize request,completed,01c8734e-1300-4890-b,testing,simple
Check if m2m server requires specific environment variables or configuration,completed,01c8734e-1300-4890-b,testing,simple
Backup current server configuration,completed,01c8734e-1300-4890-b,general,simple
Create minimal config with only fetch server,completed,01c8734e-1300-4890-b,configuration,simple
Restart m2m SSH server with new config,in_progress,01c8734e-1300-4890-b,configuration,simple
Test connection with simplified setup,pending,01c8734e-1300-4890-b,testing,simple
Install Steam using winget,in_progress,02788f7b-420c-401c-8,configuration,simple
Verify Steam installation,pending,02788f7b-420c-401c-8,testing,simple
Update server config to include multiple MCP servers,completed,032d50cc-8881-4643-9,configuration,complex
Restart m2m server with new configuration,completed,032d50cc-8881-4643-9,configuration,simple
Test connection to multiple servers,in_progress,032d50cc-8881-4643-9,testing,complex
Configure Claude to use the m2m-ssh server,pending,032d50cc-8881-4643-9,configuration,simple
Create src/scanners directory structure for security scanning,completed,0718e1aa-5408-4786-9,general,simple
Define SARIF v2.1.0 types and interfaces,completed,0718e1aa-5408-4786-9,general,simple
Add LICENSE file (MIT),completed,0718e1aa-5408-4786-9,general,simple
Update README with security scanning documentation,completed,0718e1aa-5408-4786-9,documentation,simple
Implement base scanner adapter interface,completed,0718e1aa-5408-4786-9,general,simple
Build npm-audit-adapter for dependency scanning (SCA),completed,0718e1aa-5408-4786-9,general,simple
Build gitleaks-adapter for secrets detection,pending,0718e1aa-5408-4786-9,general,simple
Build semgrep-adapter for TypeScript SAST,pending,0718e1aa-5408-4786-9,general,simple
Implement SARIF normalizer for unified output,pending,0718e1aa-5408-4786-9,general,simple
Build baseline engine for suppressing known issues,pending,0718e1aa-5408-4786-9,general,simple
Build policy engine for severity thresholds,pending,0718e1aa-5408-4786-9,general,simple
Add security_scan MCP tool to server-unified.ts,pending,0718e1aa-5408-4786-9,general,simple
Create GitHub Actions security workflow,pending,0718e1aa-5408-4786-9,general,simple
Add test fixtures with vulnerable code,completed,0718e1aa-5408-4786-9,testing,simple
Write integration tests for security scanners,pending,0718e1aa-5408-4786-9,general,simple
Optimize performance with parallelism and caching,pending,0718e1aa-5408-4786-9,refactoring,simple
Curate TypeScript/JavaScript security rule packs,pending,0718e1aa-5408-4786-9,general,simple
Add pre-commit hooks for security scanning,pending,0718e1aa-5408-4786-9,general,simple
Copy local MCP server configs to remote,completed,0a000005-1b05-40ef-9,general,simple
Update remote servers_config.json,completed,0a000005-1b05-40ef-9,configuration,simple
Restart remote MCP SSH server,in_progress,0a000005-1b05-40ef-9,configuration,simple
Test the new remote tools,pending,0a000005-1b05-40ef-9,testing,simple
Improve tool descriptions to better guide agent selection,completed,0a2173fe-6f61-4c16-8,refactoring,simple
Add lmstudio_generate convenience wrapper,completed,0a2173fe-6f61-4c16-8,general,simple
Fix router bias to prefer LM Studio when available,completed,0a2173fe-6f61-4c16-8,debugging,simple
Add better error handling and fallback messaging,completed,0a2173fe-6f61-4c16-8,debugging,simple
Create git repository in Windows dev directory,completed,0a448311-271b-48e8-a,general,simple
Set up .gitignore for node_modules and build directories,completed,0a448311-271b-48e8-a,general,simple
Copy source files from WSL to Windows,completed,0a448311-271b-48e8-a,general,simple
Install dependencies on Windows,completed,0a448311-271b-48e8-a,configuration,simple
Build TypeScript project on Windows,completed,0a448311-271b-48e8-a,general,simple
Test MCP server starts correctly on Windows,completed,0a448311-271b-48e8-a,testing,simple
Search for MCP implementations with Lucid write capabilities,completed,0b30a388-cf88-4f97-8,general,simple
Analyze existing Lucid MCP servers on GitHub,completed,0b30a388-cf88-4f97-8,analysis,simple
Find implementations with document modification features,completed,0b30a388-cf88-4f97-8,documentation,simple
Compare features and identify best options,in_progress,0b30a388-cf88-4f97-8,general,simple
Search for task data in ~/.claude directory,completed,0d7c2ecc-030d-4dea-b,general,simple
Extract and analyze historical tasks,completed,0d7c2ecc-030d-4dea-b,analysis,simple
Generate router calibration data,completed,0d7c2ecc-030d-4dea-b,general,simple
Calibrate router with real data,in_progress,0d7c2ecc-030d-4dea-b,general,simple
Test calibrated router,pending,0d7c2ecc-030d-4dea-b,testing,simple
Test Lucid MCP functionality,in_progress,0fc14919-6c54-4eed-8,testing,simple
Install and configure OpenSSH Server on Windows 11,in_progress,16dfe660-f59f-4b82-a,configuration,simple
Configure Windows Firewall for SSH access,pending,16dfe660-f59f-4b82-a,configuration,simple
Set up SSH to start automatically,pending,16dfe660-f59f-4b82-a,general,simple
Enable Wake-on-LAN in BIOS/UEFI settings,pending,16dfe660-f59f-4b82-a,general,simple
Configure network adapter for Wake-on-LAN,completed,16dfe660-f59f-4b82-a,configuration,simple
Verify SSH and WoL configuration,pending,16dfe660-f59f-4b82-a,testing,simple
Configure Tailscale for SSH access,pending,16dfe660-f59f-4b82-a,configuration,simple
Set up Wake-on-LAN over Tailscale,pending,16dfe660-f59f-4b82-a,general,simple
Set up Gmail API authentication and credentials,completed,177e53cc-a20a-48d9-9,general,simple
Create script to fetch sent emails from Gmail,completed,177e53cc-a20a-48d9-9,code_generation,simple
Implement deduplication logic for similar emails,completed,177e53cc-a20a-48d9-9,general,simple
Export deduplicated emails to archive format,completed,177e53cc-a20a-48d9-9,general,simple
Test the complete workflow,completed,177e53cc-a20a-48d9-9,testing,simple
Install gcloud CLI on Windows,completed,177e53cc-a20a-48d9-9,configuration,simple
Create OAuth2 credentials in Google Cloud Console,completed,177e53cc-a20a-48d9-9,general,simple
Test MCP server connection and functionality,in_progress,195fda4f-600e-4c71-9,testing,simple
Kill all m2m-related processes on Mac,completed,19bab5cb-c04c-4b8f-9,general,simple
Clean up m2m installation on Mac,completed,19bab5cb-c04c-4b8f-9,refactoring,simple
Reinstall m2m server with uv on Mac,completed,19bab5cb-c04c-4b8f-9,general,simple
Start fresh m2m server with minimal config,completed,19bab5cb-c04c-4b8f-9,configuration,simple
Test connection from Windows,completed,19bab5cb-c04c-4b8f-9,testing,simple
Fix uvx path in server config,in_progress,19bab5cb-c04c-4b8f-9,debugging,simple
Update Claude config to use new port,pending,19bab5cb-c04c-4b8f-9,configuration,simple
Test lmstudio-omnibus health check,completed,19f01907-3fc3-42ca-9,testing,simple
Fix Unicode encoding issue in test script,completed,19f01907-3fc3-42ca-9,debugging,simple
Verify intelligent routing functionality,in_progress,19f01907-3fc3-42ca-9,testing,simple
Test multi-agent consensus query,pending,19f01907-3fc3-42ca-9,testing,simple
Check SSH connectivity to remote server,completed,1eca40f1-940d-4aeb-b,testing,simple
Verify MCP server is running on port 8022,in_progress,1eca40f1-940d-4aeb-b,testing,simple
Test MCP server response,pending,1eca40f1-940d-4aeb-b,testing,simple
